date_time,city,intensity_drought
2010-02-01,Atakpame,0
2010-02-02,Atakpame,0
2010-02-03,Atakpame,0
2010-02-04,Atakpame,0
2010-02-05,Atakpame,0
2010-02-06,Atakpame,0
2010-02-07,Atakpame,0
2010-02-08,Atakpame,0
2010-02-09,Atakpame,0
2010-02-10,Atakpame,0
2010-02-11,Atakpame,0
2010-02-12,Atakpame,0
2010-02-13,Atakpame,0
2010-02-14,Atakpame,0
2010-02-15,Atakpame,0
2010-02-16,Atakpame,0
2010-02-17,Atakpame,0
2010-02-18,Atakpame,0
2010-02-19,Atakpame,0
2010-02-20,Atakpame,0
2010-02-21,Atakpame,0
2010-02-22,Atakpame,0
2010-02-23,Atakpame,0
2010-02-24,Atakpame,0
2010-02-25,Atakpame,0
2010-02-26,Atakpame,0
2010-02-27,Atakpame,0
2010-02-28,Atakpame,0
2010-03-01,Atakpame,0
2010-03-02,Atakpame,0
2010-03-03,Atakpame,0
2010-03-04,Atakpame,0
2010-03-05,Atakpame,0
2010-03-06,Atakpame,0
2010-03-07,Atakpame,0
2010-03-08,Atakpame,0
2010-03-09,Atakpame,0
2010-03-10,Atakpame,0
2010-03-11,Atakpame,0
2010-03-12,Atakpame,0
2010-03-13,Atakpame,0
2010-03-14,Atakpame,0
2010-03-15,Atakpame,0
2010-03-16,Atakpame,0
2010-03-17,Atakpame,0
2010-03-18,Atakpame,0
2010-03-19,Atakpame,0
2010-03-20,Atakpame,0
2010-03-21,Atakpame,0
2010-03-22,Atakpame,0
2010-03-23,Atakpame,0
2010-03-24,Atakpame,0
2010-03-25,Atakpame,0
2010-03-26,Atakpame,0
2010-03-27,Atakpame,0
2010-03-28,Atakpame,0
2010-03-29,Atakpame,0
2010-03-30,Atakpame,0
2010-03-31,Atakpame,0
2010-04-01,Atakpame,0
2010-04-02,Atakpame,0
2010-04-03,Atakpame,0
2010-04-04,Atakpame,0
2010-04-05,Atakpame,0
2010-04-06,Atakpame,0
2010-04-07,Atakpame,0
2010-04-08,Atakpame,0
2010-04-09,Atakpame,0
2010-04-10,Atakpame,0
2010-04-11,Atakpame,0
2010-04-12,Atakpame,0
2010-04-13,Atakpame,0
2010-04-14,Atakpame,0
2010-04-15,Atakpame,0
2010-04-16,Atakpame,0
2010-04-17,Atakpame,0
2010-04-18,Atakpame,0
2010-04-19,Atakpame,0
2010-04-20,Atakpame,0
2010-04-21,Atakpame,0
2010-04-22,Atakpame,0
2010-04-23,Atakpame,0
2010-04-24,Atakpame,0
2010-04-25,Atakpame,0
2010-04-26,Atakpame,0
2010-04-27,Atakpame,0
2010-04-28,Atakpame,0
2010-04-29,Atakpame,0
2010-04-30,Atakpame,0
2010-05-01,Atakpame,0
2010-05-02,Atakpame,0
2010-05-03,Atakpame,0
2010-05-04,Atakpame,0
2010-05-05,Atakpame,0
2010-05-06,Atakpame,0
2010-05-07,Atakpame,0
2010-05-08,Atakpame,0
2010-05-09,Atakpame,0
2010-05-10,Atakpame,0
2010-05-11,Atakpame,0
2010-05-12,Atakpame,0
2010-05-13,Atakpame,0
2010-05-14,Atakpame,0
2010-05-15,Atakpame,0
2010-05-16,Atakpame,0
2010-05-17,Atakpame,0
2010-05-18,Atakpame,0
2010-05-19,Atakpame,0
2010-05-20,Atakpame,0
2010-05-21,Atakpame,0
2010-05-22,Atakpame,0
2010-05-23,Atakpame,0
2010-05-24,Atakpame,0
2010-05-25,Atakpame,0
2010-05-26,Atakpame,0
2010-05-27,Atakpame,0
2010-05-28,Atakpame,0
2010-05-29,Atakpame,0
2010-05-30,Atakpame,0
2010-05-31,Atakpame,0
2010-06-01,Atakpame,0
2010-06-02,Atakpame,0
2010-06-03,Atakpame,0
2010-06-04,Atakpame,0
2010-06-05,Atakpame,0
2010-06-06,Atakpame,0
2010-06-07,Atakpame,0
2010-06-08,Atakpame,0
2010-06-09,Atakpame,0
2010-06-10,Atakpame,0
2010-06-11,Atakpame,0
2010-06-12,Atakpame,0
2010-06-13,Atakpame,0
2010-06-14,Atakpame,0
2010-06-15,Atakpame,0
2010-06-16,Atakpame,0
2010-06-17,Atakpame,0
2010-06-18,Atakpame,0
2010-06-19,Atakpame,0
2010-06-20,Atakpame,0
2010-06-21,Atakpame,0
2010-06-22,Atakpame,0
2010-06-23,Atakpame,0
2010-06-24,Atakpame,0
2010-06-25,Atakpame,0
2010-06-26,Atakpame,0
2010-06-27,Atakpame,0
2010-06-28,Atakpame,0
2010-06-29,Atakpame,0
2010-06-30,Atakpame,0
2010-07-01,Atakpame,0
2010-07-02,Atakpame,0
2010-07-03,Atakpame,0
2010-07-04,Atakpame,0
2010-07-05,Atakpame,0
2010-07-06,Atakpame,0
2010-07-07,Atakpame,0
2010-07-08,Atakpame,0
2010-07-09,Atakpame,0
2010-07-10,Atakpame,0
2010-07-11,Atakpame,0
2010-07-12,Atakpame,0
2010-07-13,Atakpame,0
2010-07-14,Atakpame,0
2010-07-15,Atakpame,0
2010-07-16,Atakpame,0
2010-07-17,Atakpame,0
2010-07-18,Atakpame,0
2010-07-19,Atakpame,0
2010-07-20,Atakpame,0
2010-07-21,Atakpame,0
2010-07-22,Atakpame,0
2010-07-23,Atakpame,0
2010-07-24,Atakpame,0
2010-07-25,Atakpame,0
2010-07-26,Atakpame,0
2010-07-27,Atakpame,0
2010-07-28,Atakpame,0
2010-07-29,Atakpame,0
2010-07-30,Atakpame,0
2010-07-31,Atakpame,0
2010-08-01,Atakpame,0
2010-08-02,Atakpame,0
2010-08-03,Atakpame,0
2010-08-04,Atakpame,0
2010-08-05,Atakpame,0
2010-08-06,Atakpame,0
2010-08-07,Atakpame,0
2010-08-08,Atakpame,0
2010-08-09,Atakpame,0
2010-08-10,Atakpame,0
2010-08-11,Atakpame,0
2010-08-12,Atakpame,0
2010-08-13,Atakpame,0
2010-08-14,Atakpame,0
2010-08-15,Atakpame,0
2010-08-16,Atakpame,0
2010-08-17,Atakpame,0
2010-08-18,Atakpame,0
2010-08-19,Atakpame,0
2010-08-20,Atakpame,0
2010-08-21,Atakpame,0
2010-08-22,Atakpame,0
2010-08-23,Atakpame,0
2010-08-24,Atakpame,0
2010-08-25,Atakpame,0
2010-08-26,Atakpame,0
2010-08-27,Atakpame,0
2010-08-28,Atakpame,0
2010-08-29,Atakpame,0
2010-08-30,Atakpame,0
2010-08-31,Atakpame,0
2010-09-01,Atakpame,0
2010-09-02,Atakpame,0
2010-09-03,Atakpame,0
2010-09-04,Atakpame,0
2010-09-05,Atakpame,0
2010-09-06,Atakpame,0
2010-09-07,Atakpame,0
2010-09-08,Atakpame,0
2010-09-09,Atakpame,0
2010-09-10,Atakpame,0
2010-09-11,Atakpame,0
2010-09-12,Atakpame,0
2010-09-13,Atakpame,0
2010-09-14,Atakpame,0
2010-09-15,Atakpame,0
2010-09-16,Atakpame,0
2010-09-17,Atakpame,0
2010-09-18,Atakpame,0
2010-09-19,Atakpame,0
2010-09-20,Atakpame,0
2010-09-21,Atakpame,0
2010-09-22,Atakpame,0
2010-09-23,Atakpame,0
2010-09-24,Atakpame,0
2010-09-25,Atakpame,0
2010-09-26,Atakpame,0
2010-09-27,Atakpame,0
2010-09-28,Atakpame,0
2010-09-29,Atakpame,0
2010-09-30,Atakpame,0
2010-10-01,Atakpame,0
2010-10-02,Atakpame,0
2010-10-03,Atakpame,0
2010-10-04,Atakpame,0
2010-10-05,Atakpame,0
2010-10-06,Atakpame,0
2010-10-07,Atakpame,0
2010-10-08,Atakpame,0
2010-10-09,Atakpame,0
2010-10-10,Atakpame,0
2010-10-11,Atakpame,0
2010-10-12,Atakpame,0
2010-10-13,Atakpame,0
2010-10-14,Atakpame,0
2010-10-15,Atakpame,0
2010-10-16,Atakpame,0
2010-10-17,Atakpame,0
2010-10-18,Atakpame,0
2010-10-19,Atakpame,0
2010-10-20,Atakpame,0
2010-10-21,Atakpame,0
2010-10-22,Atakpame,0
2010-10-23,Atakpame,0
2010-10-24,Atakpame,0
2010-10-25,Atakpame,0
2010-10-26,Atakpame,0
2010-10-27,Atakpame,0
2010-10-28,Atakpame,0
2010-10-29,Atakpame,0
2010-10-30,Atakpame,0
2010-10-31,Atakpame,0
2010-11-01,Atakpame,0
2010-11-02,Atakpame,0
2010-11-03,Atakpame,0
2010-11-04,Atakpame,0
2010-11-05,Atakpame,0
2010-11-06,Atakpame,0
2010-11-07,Atakpame,0
2010-11-08,Atakpame,0
2010-11-09,Atakpame,0
2010-11-10,Atakpame,0
2010-11-11,Atakpame,0
2010-11-12,Atakpame,0
2010-11-13,Atakpame,0
2010-11-14,Atakpame,0
2010-11-15,Atakpame,0
2010-11-16,Atakpame,0
2010-11-17,Atakpame,0
2010-11-18,Atakpame,0
2010-11-19,Atakpame,0
2010-11-20,Atakpame,0
2010-11-21,Atakpame,0
2010-11-22,Atakpame,0
2010-11-23,Atakpame,0
2010-11-24,Atakpame,0
2010-11-25,Atakpame,0
2010-11-26,Atakpame,0
2010-11-27,Atakpame,0
2010-11-28,Atakpame,0
2010-11-29,Atakpame,0
2010-11-30,Atakpame,0
2010-12-01,Atakpame,0
2010-12-02,Atakpame,0
2010-12-03,Atakpame,0
2010-12-04,Atakpame,0
2010-12-05,Atakpame,0
2010-12-06,Atakpame,0
2010-12-07,Atakpame,0
2010-12-08,Atakpame,0
2010-12-09,Atakpame,0
2010-12-10,Atakpame,0
2010-12-11,Atakpame,0
2010-12-12,Atakpame,0
2010-12-13,Atakpame,0
2010-12-14,Atakpame,0
2010-12-15,Atakpame,0
2010-12-16,Atakpame,0
2010-12-17,Atakpame,0
2010-12-18,Atakpame,0
2010-12-19,Atakpame,0
2010-12-20,Atakpame,0
2010-12-21,Atakpame,0
2010-12-22,Atakpame,0
2010-12-23,Atakpame,0
2010-12-24,Atakpame,0
2010-12-25,Atakpame,0
2010-12-26,Atakpame,0
2010-12-27,Atakpame,0
2010-12-28,Atakpame,0
2010-12-29,Atakpame,0
2010-12-30,Atakpame,0
2010-12-31,Atakpame,0
2011-01-01,Atakpame,0
2011-01-02,Atakpame,0
2011-01-03,Atakpame,0
2011-01-04,Atakpame,0
2011-01-05,Atakpame,0
2011-01-06,Atakpame,0
2011-01-07,Atakpame,0
2011-01-08,Atakpame,0
2011-01-09,Atakpame,0
2011-01-10,Atakpame,0
2011-01-11,Atakpame,0
2011-01-12,Atakpame,0
2011-01-13,Atakpame,0
2011-01-14,Atakpame,0
2011-01-15,Atakpame,0
2011-01-16,Atakpame,0
2011-01-17,Atakpame,0
2011-01-18,Atakpame,0
2011-01-19,Atakpame,0
2011-01-20,Atakpame,0
2011-01-21,Atakpame,0
2011-01-22,Atakpame,0
2011-01-23,Atakpame,0
2011-01-24,Atakpame,0
2011-01-25,Atakpame,0
2011-01-26,Atakpame,0
2011-01-27,Atakpame,0
2011-01-28,Atakpame,0
2011-01-29,Atakpame,0
2011-01-30,Atakpame,0
2011-01-31,Atakpame,0
2011-02-01,Atakpame,0
2011-02-02,Atakpame,0
2011-02-03,Atakpame,0
2011-02-04,Atakpame,0
2011-02-05,Atakpame,0
2011-02-06,Atakpame,0
2011-02-07,Atakpame,0
2011-02-08,Atakpame,0
2011-02-09,Atakpame,0
2011-02-10,Atakpame,0
2011-02-11,Atakpame,0
2011-02-12,Atakpame,0
2011-02-13,Atakpame,0
2011-02-14,Atakpame,0
2011-02-15,Atakpame,0
2011-02-16,Atakpame,0
2011-02-17,Atakpame,0
2011-02-18,Atakpame,0
2011-02-19,Atakpame,0
2011-02-20,Atakpame,0
2011-02-21,Atakpame,0
2011-02-22,Atakpame,0
2011-02-23,Atakpame,0
2011-02-24,Atakpame,0
2011-02-25,Atakpame,0
2011-02-26,Atakpame,0
2011-02-27,Atakpame,0
2011-02-28,Atakpame,0
2011-03-01,Atakpame,0
2011-03-02,Atakpame,0
2011-03-03,Atakpame,0
2011-03-04,Atakpame,0
2011-03-05,Atakpame,0
2011-03-06,Atakpame,0
2011-03-07,Atakpame,0
2011-03-08,Atakpame,0
2011-03-09,Atakpame,0
2011-03-10,Atakpame,0
2011-03-11,Atakpame,0
2011-03-12,Atakpame,0
2011-03-13,Atakpame,0
2011-03-14,Atakpame,0
2011-03-15,Atakpame,0
2011-03-16,Atakpame,0
2011-03-17,Atakpame,0
2011-03-18,Atakpame,0
2011-03-19,Atakpame,0
2011-03-20,Atakpame,0
2011-03-21,Atakpame,0
